TaxYear,Parcel,Div,InterfaceFlag,Fcv,OverrideFcv,OvrRsn,SqFt,BldgUnits,AssocParcels,StreetNo,StreetDir,StreetPre,StreetName,StreetSuf,Zip,CityCode,ShpCtrEftYr,Appraiser,Phone
2018,116193560,PProp,N,1135846,0,0,10927,0,N,440,N,               ,BONITA AVE               ,    ,0,TUC,0,Eduardo P,724-6980
2018,116193570,PProp,N,3932224,0,0,39840,0,N,420,N,               ,BONITA AVE               ,    ,0,TUC,0,Eduardo P,724-6980
2018,11619358B,PProp,N,55671,0,0,0,0,N,420,N,               ,BONITA AVE               ,    ,0,TUC,0,Eduardo P,724-6980
2018,11619365A,PProp,N,1078920,0,0,19464,0,N,451,N,               ,BONITA AVE               ,    ,0,TUC,0,Ryan C,724-8292
2018,117100370,PProp,N,361765,0,0,16540,0,N,445,N,               ,NINTH                    ,    ,0,TUC,0,Ryan C,724-8292
2018,11716008A,PProp,N,191204,0,0,5125,0,N,189,E,               ,TOOLE AVE                ,    ,0,TUC,0,Dustin W,724-7444
2018,117160090,PProp,N,484076,0,0,9518,0,N,197,E,               ,TOOLE AVE                ,    ,0,TUC,0,Ryan C,724-8292
2018,13316001B,PProp,N,29396,0,0,200,0,N,2402,N,               ,CAMINO PRINCIPAL         ,    ,0,TUC,0,Ryan C,724-8292
2018,136310260,PProp,N,1369813,0,0,7079,0,N,4675,S,               ,HARRISON                 ,    ,0,TUC,0,Ryan C,724-8292
2018,140420740,Com  ,N,223415,0,0,6492,0,N,7250,S,               ,TUCSON BLVD              ,    ,0,TUC,0,Eduardo P,724-6980
2018,14043013B,Com  ,Y,63676011,0,0,1500869,0,N,1865,E,               ,AERO PARK,    ,0,TUC,0,Renee A,724-8010
2018,14043013C,Com,Y,1755954,0,0,15699,0,N,8087,S,,NOGALES,HWY,,TUC,0,Eduardo P,724-6980
2018,140500020,PProp,N,2427864,0,0,44790,0,N,1865,E,               ,AERO PARK BLVD           ,    ,0,TUC,0,Ryan C,724-8292
2018,205000010,PProp,N,51727,0,0,686,0,N,11801,N,               ,UPPER BEAR WALLOW RD     ,    ,0,MTL,0,Bill B,724-3096
2018,205000020,PProp,N,56697,0,0,752,0,N,11802,N,               ,UPPER BEAR WALLOW RD     ,    ,0,MTL,0,Bill B,724-3096
2018,205000030,PProp,N,102552,0,0,784,0,N,11803,N,               ,UPPER BEAR WALLOW RD     ,    ,0,MTL,0,Bill B,724-3096
2018,205000040,PProp,N,74378,0,0,768,0,N,11804,N,               ,UPPER BEAR WALLOW RD     ,    ,0,MTL,0,Bill B,724-3096
2018,205000050,PProp,N,62559,0,0,830,0,N,11805,N,               ,UPPER BEAR WALLOW RD     ,    ,0,MTL,0,Bill B,724-3096
2018,205000060,PProp,N,59032,0,0,754,0,N,11806,N,               ,UPPER BEAR WALLOW RD     ,    ,0,MTL,0,Bill B,724-3096
2018,205000090,PProp,N,43302,0,0,564,0,N,11908,N,               ,UPPER SOLDIERS CAMP RD   ,    ,0,MTL,0,Bill B,724-3096
2018,205000100,PProp,N,81065,0,0,630,0,N,11909,N,               ,UPPER SOLDIERS CAMP RD   ,    ,0,MTL,0,Bill B,724-3096
2018,205000110,PProp,N,66725,0,0,831,0,N,11910,N,               ,UPPER SOLDIERS CAMP RD   ,    ,0,MTL,0,Bill B,724-3096
2018,205000120,PProp,N,73847,0,0,869,0,N,11911,N,               ,UPPER SOLDIERS CAMP RD   ,    ,0,MTL,0,Bill B,724-3096
2018,205000130,PProp,N,62511,0,0,830,0,N,11912,N,               ,UPPER SOLDIERS CAMP RD   ,    ,0,MTL,0,Bill B,724-3096
2018,205000140,PProp,N,83187,0,0,1235,0,N,11913,N,               ,UPPER SOLDIERS CAMP RD   ,    ,0,MTL,0,Bill B,724-3096
2018,205000150,PProp,N,43923,0,0,551,0,N,11914,N,               ,UPPER SOLDIERS CAMP RD   ,    ,0,MTL,0,Bill B,724-3096
2018,205000160,PProp,N,46532,0,0,662,0,N,11915,N,               ,UPPER SOLDIERS CAMP RD   ,    ,0,MTL,0,Bill B,724-3096
2018,205000190,PProp,N,66347,0,0,779,0,N,11918,N,               ,UPPER SOLDIERS CAMP RD   ,    ,0,MTL,0,Bill B,724-3096
2018,205000200,PProp,N,119648,0,0,1528,0,N,11919,N,               ,UPPER SOLDIERS CAMP RD   ,    ,0,MTL,0,Bill B,724-3096
2018,205000250,PProp,N,79327,0,0,1227,0,N,12022,N,               ,SOLDIERS CAMP RD         ,    ,0,MTL,0,Bill B,724-3096
2018,205000260,PProp,N,45030,0,0,650,0,N,12023,N,               ,SOLDIERS CAMP RD         ,    ,0,MTL,0,Bill B,724-3096
2018,205000270,PProp,N,43711,0,0,612,0,N,12023,N,               ,SYKES KNOB RD            ,    ,0,MTL,0,Bill B,724-3096
2018,205000290,PProp,N,55279,0,0,792,0,N,12023,N,               ,SYKES KNOB RD            ,    ,0,MTL,0,Bill B,724-3096
2018,205000300,PProp,N,55200,0,0,730,0,N,12024,N,               ,SOLDIERS CAMP RD         ,    ,0,MTL,0,Bill B,724-3096
2018,205000310,PProp,N,47076,0,0,674,0,N,12025,N,               ,SOLDIERS CAMP RD         ,    ,0,MTL,0,Bill B,724-3096
2018,205000320,PProp,N,52320,0,0,811,0,N,12026,N,               ,SOLDIERS CAMP RD         ,    ,0,MTL,0,Bill B,724-3096
2018,205000330,PProp,N,36620,0,0,498,0,N,12026,N,               ,SOLDIERS CAMP RD         ,    ,0,MTL,0,Bill B,724-3096
2018,205000340,PProp,N,138929,0,0,1067,0,N,12027,N,               ,SOLDIERS CAMP RD         ,    ,0,MTL,0,Bill B,724-3096
2018,205000360,PProp,N,57505,0,0,868,0,N,12028,N,               ,SOLDIERS CAMP RD         ,    ,0,MTL,0,Bill B,724-3096
2018,205000370,PProp,N,26773,0,0,770,0,N,12028,N,SOLDIERS       ,LAKE RD                  ,    ,0,MTL,0,Bill B,724-3096
