,TAXYEAR,PARCEL,SFRCONDO,COMPLEXID,INSPECTION,CLASS,STORIES,ROOMS,QUALITY,WALLS,ROOF,HEAT,COOL,BATHFIXTUR,PATIO,PATIONUMBE,CONDITION,SQFT,YEAR,GARAGE,GARAGECAPA,POOLAREA,MAIN,CONTROL,ACTUAL,LASTACTION,VALUATIONC,APPLICATION,ENHANCEMEN,ADJUSTMENT,APPRAISER,PHONE
54,2016,13824020U,S,9999,Oct  1 1990 12:00AM,1,1,2,1,0,7,8,2,3,9,0,1,435,1957,1,2,0,53836,53836,53836,20070207,00,0201,0,1,Kathy T.,724-3060
106,2016,217210060,S,9999,Sep  1 1985 12:00AM,1,1,4,1,2,7,8,1,3,3,2,1,819,1956,3,1,0,30311,30311,30311,19851030,00,0201,0,1,Renee A.,724-8010
129,2016,222160430,S,9999,Dec  1 1995 12:00AM,1,1,2,1,0,3,1,1,3,3,1,2,450,1969,9,0,0,36649,57634,57634,17530101,00,0201,0,1,Diana M.,724-3052
139,2016,30173060F,S,9999,Nov 14 2012 12:00AM,1,1,4,2,2,6,9,2,3,3,1,1,1089,1954,9,0,0,35215,35215,35215,20121116,00,0201,4429,1,Renee A.,724-8010
222,2016,40113132A,S,9999,Feb  1 2010 12:00AM,1,1,3,1,0,6,8,2,3,3,1,1,526,1925,9,0,0,23146,23146,23146,20100827,00,0201,0,1,Wayne S.,724-3003
237,2016,401171640,S,9999,Mar  1 1996 12:00AM,1,1,3,1,2,7,8,1,3,9,0,1,866,1949,9,0,0,26775,26775,26775,19970604,00,0201,0,1,Wayne S.,724-3003
240,2016,401190010,S,9999,Mar  1 1996 12:00AM,1,1,3,1,0,7,8,2,3,9,0,1,384,1916,9,0,0,31173,31173,31173,20070207,00,0201,0,1,Wayne S.,724-3003
267,2016,401250260,S,9999,Aug  1 1996 12:00AM,1,1,4,1,0,1,8,1,3,9,0,1,696,1931,9,0,0,32572,32572,27686,19970603,00,0201,0,1,Wayne S.,724-3003
293,2016,10510047C,S,9999,Jan 22 2015 12:00AM,1,1,4,2,0,3,1,1,6,3,2,2,937,1957,9,0,0,47456,47456,47456,20150122,00,0201,0,1,Steve A.,724-3055
302,2016,106020200,S,9999,Jun  1 1965 12:00AM,1,1,5,1,0,7,1,1,3,3,1,1,1627,1956,9,0,0,65170,65170,61912,19841119,00,0201,0,1,Renee A.,724-8010
