TAXYEAR,PARCEL,SFRCONDO,COMPLEXID,INSPECTION,CLASS,STORIES,ROOMS,QUALITY,WALLS,ROOF,HEAT,COOL,BATHFIXTUR,PATIO,PATIONUMBE,CONDITION,SQFT,YEAR,GARAGE,GARAGECAPA,POOLAREA,MAIN,CONTROL,ACTUAL,LASTACTION,VALUATIONC,APPLICATION,ENHANCEMEN,ADJUSTMENT,APPRAISER,PHONE
2016,137051880,S,9999,Dec  1 2002 12:00AM,1,1,4,2,0,7,8,1,3,9,0,1,692,1954,9,0,0,24153,24153,24153,20030122,00,0201,0,1,Kathy T.,724-3060
2016,137052570,S,9999,Feb  1 2010 12:00AM,1,1,3,2,3,7,8,1,3,9,0,1,600,1952,1,2,0,27819,27819,27819,20100826,00,0201,0,1,Kathy T.,724-3060
2016,137053460,S,9999,Jul  1 1978 12:00AM,1,1,3,1,3,7,8,2,3,9,0,1,729,1954,3,2,0,26495,26495,26495,19780726,00,0201,0,1,Kathy T.,724-3060
2016,137053730,S,9999,Jan  1 2007 12:00AM,1,1,4,1,0,1,8,1,3,9,0,1,1005,1953,9,0,0,39329,39329,39329,20070131,00,0201,0,1,Kathy T.,724-3060
2016,137054100,S,9999,Dec  1 2002 12:00AM,1,1,5,2,0,7,5,1,3,3,1,1,975,1959,9,0,0,28689,28689,28689,20030114,00,0201,0,1,Kathy T.,724-3060
2016,137054630,S,9999,Jun 10 2011 12:00AM,1,1,6,1,2,7,8,1,6,3,1,1,1775,1976,9,0,0,49336,49336,49336,20110613,00,0201,0,1,Kathy T.,724-3060
2016,137054760,S,9999,Jan  1 1976 12:00AM,1,1,4,1,2,1,8,2,3,9,0,1,1025,1970,9,0,0,27209,27209,27209,19761129,00,0201,0,1,Kathy T.,724-3060
2016,137054830,S,9999,Apr  1 1997 12:00AM,1,1,2,1,7,7,8,1,3,9,0,2,1145,1963,9,0,0,29258,29258,29258,19970423,00,0201,0,1,Kathy T.,724-3060
2016,137054870,S,9999,Mar  1 1986 12:00AM,1,1,5,1,2,7,1,1,3,9,0,1,1572,1952,9,0,0,35295,35295,35295,19870323,00,0201,0,1,Kathy T.,724-3060
2016,137060630,S,9999,Dec  1 2002 12:00AM,1,1,4,3,0,7,8,1,3,3,1,1,825,1952,9,0,0,30562,30562,30562,20030114,00,0201,0,1,Kathy T.,724-3060
2016,137060870,S,9999,Dec  1 2002 12:00AM,1,1,4,2,0,7,8,1,3,3,1,1,560,1951,9,0,0,25116,25116,25116,20030114,00,0201,0,1,Kathy T.,724-3060
2016,137060990,S,9999,Dec  1 2002 12:00AM,1,1,4,3,6,7,8,2,3,3,1,2,1072,1966,9,0,0,33488,33488,33488,20030114,00,0201,0,1,Kathy T.,724-3060
2016,137061010,S,9999,Dec  1 2002 12:00AM,1,1,5,2,0,7,8,2,3,9,0,1,1194,1951,9,0,0,33314,33314,33314,20030114,00,0201,0,1,Kathy T.,724-3060
2016,137061070,S,9999,Dec  1 2002 12:00AM,1,1,3,3,0,7,8,2,5,3,1,1,725,1958,9,0,0,28114,28114,28114,20030114,00,0201,0,1,Kathy T.,724-3060
2016,137061420,S,9999,Dec  1 2002 12:00AM,1,1,4,2,0,7,8,2,3,9,0,1,763,1952,9,0,0,27265,27265,27265,20030114,00,0201,0,1,Kathy T.,724-3060
2016,137070020,S,9999,Apr  1 2004 12:00AM,1,1,3,3,0,1,1,1,3,9,0,1,920,1953,9,0,0,32570,32570,32570,20040426,00,0201,0,1,Kathy T.,724-3060
2016,13712019A,S,9999,Aug  1 1985 12:00AM,1,1,3,1,5,7,8,1,3,3,1,1,660,1974,9,0,0,47346,47346,47346,20070207,00,0201,0,1,Kathy T.,724-3060
2016,13720052B,S,9999,Aug  1 1985 12:00AM,1,1,3,1,0,7,8,1,3,9,0,1,978,1973,9,0,0,67077,67077,67077,20050201,00,0201,0,1,Kathy T.,724-3060
2016,137210470,S,9999,Aug  1 1985 12:00AM,1,1,4,1,0,7,1,1,3,3,1,1,1233,1956,9,0,0,92893,92893,92893,20070207,00,0201,0,1,Kathy T.,724-3060
2016,137230340,S,9999,Jan  1 2007 12:00AM,1,1,6,2,4,1,1,1,3,9,0,2,1552,1995,9,0,0,82223,88273,88273,20070201,00,0201,0,1,Kathy T.,724-3060
2016,137240070,S,9999,Aug  1 1985 12:00AM,1,1,4,1,0,7,3,9,3,9,0,1,699,1959,9,0,0,37441,37441,28830,19851030,00,0201,0,1,Kathy T.,724-3060
2016,137240770,S,9999,Feb  1 1987 12:00AM,1,1,4,3,0,7,8,2,3,3,1,2,730,1956,3,1,0,47348,47348,36458,19891201,00,0201,0,1,Kathy T.,724-3060
2016,137241080,S,9999,Nov  1 1987 12:00AM,1,1,3,1,2,7,1,1,3,3,1,1,1032,1955,9,0,0,46516,46516,35817,19871202,00,0201,0,1,Kathy T.,724-3060
2016,137241880,S,9999,Oct  1 2008 12:00AM,1,1,4,2,0,3,1,0,7,3,1,1,1349,1968,3,1,0,62967,62967,48485,20081119,00,0201,0,1,Kathy T.,724-3060
2016,13724239A,S,9999,Sep  1 2008 12:00AM,1,1,3,2,2,7,6,0,3,3,1,1,448,1960,3,1,0,48079,48079,37021,20100805,00,0201,0,1,Kathy T.,724-3060
2016,137242690,S,9999,Apr  1 1987 12:00AM,1,1,2,1,2,7,8,1,3,9,0,1,620,1958,3,3,0,43899,43899,33802,19870620,00,0201,0,1,Kathy T.,724-3060
2016,137243020,S,9999,Apr  1 1977 12:00AM,1,1,1,1,0,7,6,2,3,3,1,1,364,1950,3,2,0,37600,37600,28952,19821204,00,0201,0,1,Kathy T.,724-3060
2016,137243670,S,9999,Jul  1 1973 12:00AM,1,1,4,1,0,6,8,2,3,9,0,1,641,1972,9,0,0,37379,37379,28782,19761228,00,0201,0,1,Kathy T.,724-3060
2016,138100400,S,9999,Aug  1 1993 12:00AM,1,1,4,1,0,7,8,2,3,3,1,1,850,1947,9,0,0,31972,31972,31972,19871112,00,0201,0,1,Kathy T.,724-3060
2016,138100710,S,9999,Dec 23 2013 12:00AM,1,1,5,1,2,1,8,1,3,3,1,1,962,1945,9,0,0,44403,44403,44403,20131223,00,0201,0,1,Kathy T.,724-3060
2016,13810074D,S,9999,Jul  1 1996 12:00AM,1,1,5,1,3,1,8,1,3,3,1,1,1009,1933,9,0,0,35767,35767,35767,19901019,00,0201,0,1,Kathy T.,724-3060
2016,13811004A,S,9999,Aug  1 1993 12:00AM,1,1,4,1,0,1,1,1,4,9,0,1,1002,1940,1,2,0,39873,39873,39873,19811006,00,0201,0,1,Kathy T.,724-3060
2016,13811029B,S,9999,Aug  1 1993 12:00AM,1,1,5,1,3,0,8,2,3,3,1,1,854,1947,9,0,0,32044,32044,32044,19811204,00,0201,0,1,Kathy T.,724-3060
2016,13811052B,S,9999,Aug  1 1993 12:00AM,1,1,6,1,0,7,8,1,3,9,0,1,781,1939,9,0,0,31162,31162,31162,19821109,00,0201,0,1,Kathy T.,724-3060
2016,138110560,S,9999,Aug  1 1993 12:00AM,1,1,4,1,0,7,6,1,3,3,1,1,620,1945,9,0,0,28422,28422,28422,19811006,00,0201,0,1,Kathy T.,724-3060
