,TAXYEAR,PARCEL,SFRCONDO,COMPLEXID,INSPECTION,CLASS,STORIES,ROOMS,QUALITY,WALLS,ROOF,HEAT,COOL,BATHFIXTUR,PATIO,PATIONUMBE,CONDITION,SQFT,YEAR,GARAGE,GARAGECAPA,POOLAREA,MAIN,CONTROL,ACTUAL,LASTACTION,VALUATIONC,APPLICATION,ENHANCEMEN,ADJUSTMENT,APPRAISER,PHONE
0,2016,137051880,S,9999,Dec  1 2002 12:00AM,1,1,4,2,0,7,8,1,3,9,0,1,692,1954,9,0,0,24153,24153,24153,20030122,00,0201,0,1,Kathy T.,724-3060
1,2016,137052570,S,9999,Feb  1 2010 12:00AM,1,1,3,2,3,7,8,1,3,9,0,1,600,1952,1,2,0,27819,27819,27819,20100826,00,0201,0,1,Kathy T.,724-3060
2,2016,137053460,S,9999,Jul  1 1978 12:00AM,1,1,3,1,3,7,8,2,3,9,0,1,729,1954,3,2,0,26495,26495,26495,19780726,00,0201,0,1,Kathy T.,724-3060
3,2016,137053730,S,9999,Jan  1 2007 12:00AM,1,1,4,1,0,1,8,1,3,9,0,1,1005,1953,9,0,0,39329,39329,39329,20070131,00,0201,0,1,Kathy T.,724-3060
4,2016,137054100,S,9999,Dec  1 2002 12:00AM,1,1,5,2,0,7,5,1,3,3,1,1,975,1959,9,0,0,28689,28689,28689,20030114,00,0201,0,1,Kathy T.,724-3060
5,2016,137054630,S,9999,Jun 10 2011 12:00AM,1,1,6,1,2,7,8,1,6,3,1,1,1775,1976,9,0,0,49336,49336,49336,20110613,00,0201,0,1,Kathy T.,724-3060
6,2016,137054760,S,9999,Jan  1 1976 12:00AM,1,1,4,1,2,1,8,2,3,9,0,1,1025,1970,9,0,0,27209,27209,27209,19761129,00,0201,0,1,Kathy T.,724-3060
7,2016,137054830,S,9999,Apr  1 1997 12:00AM,1,1,2,1,7,7,8,1,3,9,0,2,1145,1963,9,0,0,29258,29258,29258,19970423,00,0201,0,1,Kathy T.,724-3060
8,2016,137054870,S,9999,Mar  1 1986 12:00AM,1,1,5,1,2,7,1,1,3,9,0,1,1572,1952,9,0,0,35295,35295,35295,19870323,00,0201,0,1,Kathy T.,724-3060
9,2016,137060630,S,9999,Dec  1 2002 12:00AM,1,1,4,3,0,7,8,1,3,3,1,1,825,1952,9,0,0,30562,30562,30562,20030114,00,0201,0,1,Kathy T.,724-3060
10,2016,137060870,S,9999,Dec  1 2002 12:00AM,1,1,4,2,0,7,8,1,3,3,1,1,560,1951,9,0,0,25116,25116,25116,20030114,00,0201,0,1,Kathy T.,724-3060
11,2016,137060990,S,9999,Dec  1 2002 12:00AM,1,1,4,3,6,7,8,2,3,3,1,2,1072,1966,9,0,0,33488,33488,33488,20030114,00,0201,0,1,Kathy T.,724-3060
12,2016,137061010,S,9999,Dec  1 2002 12:00AM,1,1,5,2,0,7,8,2,3,9,0,1,1194,1951,9,0,0,33314,33314,33314,20030114,00,0201,0,1,Kathy T.,724-3060
13,2016,137061070,S,9999,Dec  1 2002 12:00AM,1,1,3,3,0,7,8,2,5,3,1,1,725,1958,9,0,0,28114,28114,28114,20030114,00,0201,0,1,Kathy T.,724-3060
14,2016,137061420,S,9999,Dec  1 2002 12:00AM,1,1,4,2,0,7,8,2,3,9,0,1,763,1952,9,0,0,27265,27265,27265,20030114,00,0201,0,1,Kathy T.,724-3060
